,total_guests,temp,precip_sum,precip_hours,day,month,year,arrival_date,holiday_flag,is_weekend,is_weekday,yesterday,last_7_days,last_28_days
0,73,20.1,0.1,1.0,1,7,2015,2015-07-01,0,0,1,99.0,99.0,99.0
1,94,19.5,0.0,0.0,2,7,2015,2015-07-02,0,0,1,73.0,99.0,99.0
2,88,19.6,0.0,0.0,3,7,2015,2015-07-03,0,1,0,94.0,99.0,99.0
3,107,23.1,0.0,0.0,4,7,2015,2015-07-04,0,1,0,88.0,99.0,99.0
4,98,19.3,0.0,0.0,5,7,2015,2015-07-05,0,1,0,107.0,99.0,99.0
5,89,20.5,0.0,0.0,6,7,2015,2015-07-06,0,0,0,98.0,99.0,99.0
6,75,20.8,0.0,0.0,7,7,2015,2015-07-07,0,0,1,89.0,99.0,99.0
7,60,20.4,0.0,0.0,8,7,2015,2015-07-08,0,0,1,75.0,89.14285714285714,99.0
8,73,21.6,0.0,0.0,9,7,2015,2015-07-09,0,0,1,60.0,87.28571428571429,99.0
9,90,19.2,0.0,0.0,10,7,2015,2015-07-10,0,1,0,73.0,84.28571428571429,99.0
10,87,19.8,0.0,0.0,11,7,2015,2015-07-11,0,1,0,90.0,84.57142857142857,99.0
11,111,19.4,0.0,0.0,12,7,2015,2015-07-12,0,1,0,87.0,81.71428571428571,99.0
12,106,20.9,0.0,0.0,13,7,2015,2015-07-13,0,0,0,111.0,83.57142857142857,99.0
13,55,21.9,0.0,0.0,14,7,2015,2015-07-14,0,0,1,106.0,86.0,99.0
14,124,21.4,0.0,0.0,15,7,2015,2015-07-15,0,0,1,55.0,83.14285714285714,99.0
15,108,21.6,0.0,0.0,16,7,2015,2015-07-16,0,0,1,124.0,92.28571428571429,99.0
16,125,22.8,0.0,0.0,17,7,2015,2015-07-17,0,1,0,108.0,97.28571428571429,99.0
17,101,22.6,0.0,0.0,18,7,2015,2015-07-18,0,1,0,125.0,102.28571428571429,99.0
18,102,23.4,0.0,0.0,19,7,2015,2015-07-19,0,1,0,101.0,104.28571428571429,99.0
19,145,23.9,0.0,0.0,20,7,2015,2015-07-20,0,0,0,102.0,103.0,99.0
20,73,23.4,0.0,0.0,21,7,2015,2015-07-21,0,0,1,145.0,108.57142857142857,99.0
21,59,21.4,0.0,0.0,22,7,2015,2015-07-22,0,0,1,73.0,111.14285714285714,99.0
22,70,20.6,0.0,0.0,23,7,2015,2015-07-23,0,0,1,59.0,101.85714285714286,99.0
23,130,21.5,0.0,0.0,24,7,2015,2015-07-24,0,1,0,70.0,96.42857142857143,99.0
24,118,18.4,0.0,0.0,25,7,2015,2015-07-25,0,1,0,130.0,97.14285714285714,99.0
25,91,21.0,0.0,0.0,26,7,2015,2015-07-26,0,1,0,118.0,99.57142857142857,99.0
26,132,21.0,0.0,0.0,27,7,2015,2015-07-27,0,0,0,91.0,98.0,99.0
27,54,20.4,0.0,0.0,28,7,2015,2015-07-28,0,0,1,132.0,96.14285714285714,99.0
28,79,22.2,0.0,0.0,29,7,2015,2015-07-29,0,0,1,54.0,93.42857142857143,94.21428571428571
29,105,24.4,0.0,0.0,30,7,2015,2015-07-30,0,0,1,79.0,96.28571428571429,94.42857142857143
30,124,21.3,0.0,0.0,31,7,2015,2015-07-31,0,1,0,105.0,101.28571428571429,94.82142857142857
31,172,21.7,0.0,0.0,1,8,2015,2015-08-01,0,1,0,124.0,100.42857142857143,96.10714285714286
32,96,22.9,0.0,0.0,2,8,2015,2015-08-02,0,1,0,172.0,108.14285714285714,98.42857142857143
33,135,21.9,0.0,0.0,3,8,2015,2015-08-03,0,0,0,96.0,108.85714285714286,98.35714285714286
34,75,20.7,0.0,0.0,4,8,2015,2015-08-04,0,0,1,135.0,109.28571428571429,100.0
35,51,20.1,0.0,0.0,5,8,2015,2015-08-05,0,0,1,75.0,112.28571428571429,100.0
36,49,22.4,0.0,0.0,6,8,2015,2015-08-06,0,0,1,51.0,108.28571428571429,99.67857142857143
37,88,18.8,0.0,0.0,7,8,2015,2015-08-07,0,1,0,49.0,100.28571428571429,98.82142857142857
38,117,19.8,0.0,0.0,8,8,2015,2015-08-08,0,1,0,88.0,95.14285714285714,98.75
39,115,25.1,0.0,0.0,9,8,2015,2015-08-09,0,1,0,117.0,87.28571428571429,99.82142857142857
40,153,25.1,0.0,0.0,10,8,2015,2015-08-10,0,0,0,115.0,90.0,99.96428571428571
41,104,21.0,0.0,0.0,11,8,2015,2015-08-11,0,0,1,153.0,92.57142857142857,101.64285714285714
42,56,21.0,0.0,0.0,12,8,2015,2015-08-12,0,0,1,104.0,96.71428571428571,103.39285714285714
43,74,17.8,0.0,0.0,13,8,2015,2015-08-13,0,0,1,56.0,97.42857142857143,100.96428571428571
44,95,17.3,0.0,0.0,14,8,2015,2015-08-14,0,1,0,74.0,101.0,99.75
