,hotel,country,arrival_date,total_guests,total_stays
0,Resort Hotel,GBR,2015-07-01,1,1
1,Resort Hotel,GBR,2015-07-01,1,1
2,Resort Hotel,GBR,2015-07-01,2,2
3,Resort Hotel,GBR,2015-07-01,2,2
4,Resort Hotel,PRT,2015-07-01,2,2
5,Resort Hotel,PRT,2015-07-01,2,2
6,Resort Hotel,PRT,2015-07-01,2,3
7,Resort Hotel,PRT,2015-07-01,2,3
8,Resort Hotel,PRT,2015-07-01,2,4
9,Resort Hotel,PRT,2015-07-01,2,4
10,Resort Hotel,USA,2015-07-01,2,4
11,Resort Hotel,ESP,2015-07-01,3,4
12,Resort Hotel,PRT,2015-07-01,2,4
13,Resort Hotel,IRL,2015-07-01,2,4
14,Resort Hotel,PRT,2015-07-01,2,4
15,Resort Hotel,IRL,2015-07-01,2,1
16,Resort Hotel,FRA,2015-07-01,2,1
17,Resort Hotel,GBR,2015-07-01,2,4
18,Resort Hotel,GBR,2015-07-01,1,5
19,Resort Hotel,PRT,2015-07-01,2,6
20,Resort Hotel,PRT,2015-07-01,2,6
21,Resort Hotel,PRT,2015-07-01,2,6
22,Resort Hotel,GBR,2015-07-01,2,7
23,Resort Hotel,PRT,2015-07-01,2,7
24,Resort Hotel,IRL,2015-07-01,2,7
25,Resort Hotel,PRT,2015-07-01,2,7
26,Resort Hotel,PRT,2015-07-01,2,7
27,Resort Hotel,PRT,2015-07-01,2,7
28,Resort Hotel,GBR,2015-07-01,2,15
29,Resort Hotel,PRT,2015-07-01,2,10
30,Resort Hotel,IRL,2015-07-02,2,6
31,Resort Hotel,PRT,2015-07-02,3,4
32,Resort Hotel,PRT,2015-07-02,3,4
33,Resort Hotel,ESP,2015-07-02,2,4
34,Resort Hotel,PRT,2015-07-02,3,4
35,Resort Hotel,PRT,2015-07-02,3,4
36,Resort Hotel,ROU,2015-07-02,2,5
37,Resort Hotel,PRT,2015-07-02,2,5
38,Resort Hotel,IRL,2015-07-02,2,5
39,Resort Hotel,ESP,2015-07-02,2,5
40,Resort Hotel,ROU,2015-07-02,2,5
41,Resort Hotel,PRT,2015-07-02,2,7
42,Resort Hotel,PRT,2015-07-02,4,7
43,Resort Hotel,ESP,2015-07-02,2,7
44,Resort Hotel,NOR,2015-07-02,2,7
45,Resort Hotel,GBR,2015-07-02,2,7
46,Resort Hotel,IRL,2015-07-02,2,7
47,Resort Hotel,NOR,2015-07-02,2,7
48,Resort Hotel,IRL,2015-07-02,2,11
49,Resort Hotel,OMN,2015-07-02,2,14
50,Resort Hotel,ESP,2015-07-02,2,1
51,Resort Hotel,ARG,2015-07-02,2,1
52,Resort Hotel,ESP,2015-07-02,4,1
53,Resort Hotel,PRT,2015-07-02,2,1
54,Resort Hotel,PRT,2015-07-02,2,1
55,Resort Hotel,PRT,2015-07-02,2,1
56,Resort Hotel,USA,2015-07-02,2,2
57,Resort Hotel,PRT,2015-07-02,2,2
58,Resort Hotel,IRL,2015-07-02,2,2
59,Resort Hotel,ESP,2015-07-02,2,3
60,Resort Hotel,IRL,2015-07-02,2,3
61,Resort Hotel,PRT,2015-07-02,2,3
62,Resort Hotel,USA,2015-07-03,4,2
63,Resort Hotel,ESP,2015-07-03,2,2
64,Resort Hotel,POL,2015-07-03,2,2
65,Resort Hotel,PRT,2015-07-03,3,2
66,Resort Hotel,PRT,2015-07-03,2,2
67,Resort Hotel,PRT,2015-07-03,2,2
68,Resort Hotel,PRT,2015-07-03,2,2
69,Resort Hotel,PRT,2015-07-03,2,2
70,Resort Hotel,ESP,2015-07-03,2,2
71,Resort Hotel,PRT,2015-07-03,3,2
72,Resort Hotel,ESP,2015-07-03,2,3
73,Resort Hotel,PRT,2015-07-03,2,3
74,Resort Hotel,PRT,2015-07-03,1,4
75,Resort Hotel,DEU,2015-07-03,2,4
76,Resort Hotel,PRT,2015-07-03,3,8
77,Resort Hotel,FRA,2015-07-03,2,9
78,Resort Hotel,PRT,2015-07-03,2,10
79,Resort Hotel,GBR,2015-07-03,2,10
80,Resort Hotel,PRT,2015-07-03,2,10
81,Resort Hotel,GBR,2015-07-03,2,10
82,Resort Hotel,GBR,2015-07-03,2,14
83,Resort Hotel,GBR,2015-07-03,2,14
84,Resort Hotel,PRT,2015-07-03,3,21
85,Resort Hotel,GBR,2015-07-03,2,1
86,Resort Hotel,PRT,2015-07-03,2,1
87,Resort Hotel,ESP,2015-07-03,2,1
88,Resort Hotel,PRT,2015-07-03,2,1
89,Resort Hotel,USA,2015-07-03,2,1
90,Resort Hotel,BEL,2015-07-03,2,1
91,Resort Hotel,PRT,2015-07-03,2,2
92,Resort Hotel,PRT,2015-07-03,2,2
93,Resort Hotel,PRT,2015-07-03,2,7
94,Resort Hotel,ESP,2015-07-03,3,7
95,Resort Hotel,PRT,2015-07-03,3,7
96,Resort Hotel,DEU,2015-07-03,2,7
97,Resort Hotel,ESP,2015-07-04,2,3
98,Resort Hotel,FRA,2015-07-04,2,3
99,Resort Hotel,FRA,2015-07-04,3,6
100,Resort Hotel,PRT,2015-07-04,2,6
101,Resort Hotel,PRT,2015-07-04,2,7
102,Resort Hotel,PRT,2015-07-04,4,7
103,Resort Hotel,PRT,2015-07-04,3,7
104,Resort Hotel,PRT,2015-07-04,2,7
105,Resort Hotel,PRT,2015-07-04,2,7
106,Resort Hotel,PRT,2015-07-04,2,7
107,Resort Hotel,CHE,2015-07-04,2,7
108,Resort Hotel,PRT,2015-07-04,2,7
109,Resort Hotel,GBR,2015-07-04,2,7
110,Resort Hotel,PRT,2015-07-04,3,8
111,Resort Hotel,PRT,2015-07-04,2,8
112,Resort Hotel,PRT,2015-07-04,2,8
113,Resort Hotel,GBR,2015-07-04,2,10
114,Resort Hotel,PRT,2015-07-04,2,10
115,Resort Hotel,PRT,2015-07-04,3,10
116,Resort Hotel,PRT,2015-07-04,4,1
117,Resort Hotel,PRT,2015-07-04,2,1
118,Resort Hotel,PRT,2015-07-04,1,1
119,Resort Hotel,PRT,2015-07-04,1,1
120,Resort Hotel,PRT,2015-07-04,2,1
121,Resort Hotel,PRT,2015-07-04,2,1
122,Resort Hotel,PRT,2015-07-04,4,1
123,Resort Hotel,ESP,2015-07-04,2,1
124,Resort Hotel,FRA,2015-07-04,2,2
125,Resort Hotel,PRT,2015-07-04,2,2
126,Resort Hotel,FRA,2015-07-04,2,2
127,Resort Hotel,FRA,2015-07-04,2,2
128,Resort Hotel,ESP,2015-07-05,2,1
129,Resort Hotel,PRT,2015-07-05,2,1
130,Resort Hotel,ESP,2015-07-05,2,1
131,Resort Hotel,DEU,2015-07-05,1,1
132,Resort Hotel,PRT,2015-07-05,1,1
133,Resort Hotel,PRT,2015-07-05,2,1
134,Resort Hotel,DEU,2015-07-05,1,1
