arrival_date,total_guests
2015-07-01,143
2015-07-02,96
2015-07-03,28
2015-07-04,72
2015-07-05,15
2015-07-06,58
2015-07-07,35
2015-07-08,79
2015-07-09,92
2015-07-10,19
2015-07-11,121
2015-07-12,36
2015-07-13,66
2015-07-14,12
2015-07-15,84
2015-07-16,98
2015-07-17,158
2015-07-18,214
2015-07-19,12
2015-07-20,115
2015-07-21,76
2015-07-22,199
2015-07-23,174
2015-07-24,14
2015-07-25,285
2015-07-26,13
2015-07-27,212
2015-07-28,17
2015-07-29,25
2015-07-30,95
2015-07-31,16
2015-08-01,67
2015-08-02,9
2015-08-03,237
2015-08-04,20
2015-08-05,238
2015-08-06,97
2015-08-07,182
2015-08-08,304
2015-08-09,65
2015-08-10,271
2015-08-11,126
2015-08-12,204
2015-08-13,139
2015-08-14,560
2015-08-15,249
2015-08-16,63
2015-08-17,253
2015-08-18,122
2015-08-19,75
2015-08-20,155
2015-08-21,90
2015-08-22,169
2015-08-23,47
2015-08-24,209
2015-08-25,183
2015-08-26,178
2015-08-27,122
2015-08-28,54
2015-08-29,115
2015-08-30,103
2015-08-31,142
2015-09-01,85
2015-09-02,83
2015-09-03,174
2015-09-04,233
2015-09-05,368
2015-09-06,168
2015-09-07,151
2015-09-08,144
2015-09-09,303
2015-09-10,176
2015-09-11,294
2015-09-12,238
2015-09-13,60
2015-09-14,184
2015-09-15,102
2015-09-16,209
2015-09-17,313
2015-09-18,572
2015-09-19,228
2015-09-20,181
2015-09-21,295
2015-09-22,142
2015-09-23,217
2015-09-24,310
2015-09-25,354
2015-09-26,210
2015-09-27,52
2015-09-28,96
2015-09-29,134
2015-09-30,286
2015-10-01,139
2015-10-02,221
2015-10-03,236
2015-10-04,183
2015-10-05,259
2015-10-06,221
2015-10-07,270
2015-10-08,165
2015-10-09,219
2015-10-10,340
2015-10-11,105
2015-10-12,232
2015-10-13,107
2015-10-14,55
2015-10-15,212
2015-10-16,633
2015-10-17,242
2015-10-18,122
2015-10-19,270
2015-10-20,121
2015-10-21,105
2015-10-22,82
2015-10-23,100
2015-10-24,156
2015-10-25,255
2015-10-26,129
2015-10-27,32
2015-10-28,228
2015-10-29,168
2015-10-30,126
2015-10-31,220
2015-11-01,54
2015-11-02,68
2015-11-03,36
2015-11-04,75
2015-11-05,68
2015-11-06,121
2015-11-07,69
2015-11-08,36
2015-11-09,101
2015-11-10,44
2015-11-11,46
2015-11-12,36
2015-11-13,82
2015-11-14,52
2015-11-15,19
2015-11-16,25
2015-11-17,60
2015-11-18,146
2015-11-19,46
2015-11-20,125
2015-11-21,22
2015-11-22,42
2015-11-23,211
2015-11-24,48
2015-11-25,30
2015-11-26,46
2015-11-27,128
2015-11-28,40
2015-11-29,29
2015-11-30,23
2015-12-01,35
2015-12-02,32
2015-12-03,78
2015-12-04,189
2015-12-05,452
2015-12-06,49
2015-12-07,11
2015-12-08,186
2015-12-09,225
2015-12-10,73
2015-12-11,62
2015-12-12,25
2015-12-13,15
2015-12-14,21
2015-12-15,18
2015-12-16,29
2015-12-17,34
2015-12-18,58
2015-12-19,67
2015-12-20,29
2015-12-21,30
2015-12-22,23
2015-12-23,41
2015-12-24,75
2015-12-25,55
2015-12-26,153
2015-12-27,169
2015-12-28,119
2015-12-29,259
2015-12-30,241
2015-12-31,155
2016-01-01,65
2016-01-02,215
2016-01-03,71
2016-01-04,54
2016-01-05,38
2016-01-06,52
2016-01-07,40
2016-01-08,63
2016-01-09,34
2016-01-10,45
2016-01-11,12
2016-01-12,50
2016-01-13,31
2016-01-14,114
2016-01-15,99
2016-01-16,74
2016-01-17,46
2016-01-18,39
2016-01-19,131
2016-01-20,52
2016-01-21,54
2016-01-22,185
2016-01-23,58
2016-01-24,51
2016-01-25,111
2016-01-26,40
2016-01-27,155
2016-01-28,72
2016-01-29,101
2016-01-30,68
2016-01-31,33
2016-02-01,53
2016-02-02,50
2016-02-03,86
2016-02-04,88
2016-02-05,135
2016-02-06,214
2016-02-07,126
2016-02-08,116
2016-02-09,62
2016-02-10,87
2016-02-11,109
2016-02-12,242
2016-02-13,219
2016-02-14,114
2016-02-15,84
2016-02-16,69
2016-02-17,475
2016-02-18,92
2016-02-19,353
2016-02-20,126
2016-02-21,177
2016-02-22,121
