time,weathercode (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),precipitation_sum (mm),precipitation_hours (h)
2015-07-01,51,20.0,20.1,0.10,1.0
2015-07-02,2,20.3,19.5,0.00,0.0
2015-07-03,1,20.1,19.6,0.00,0.0
2015-07-04,1,22.4,23.1,0.00,0.0
2015-07-05,1,21.9,19.3,0.00,0.0
2015-07-06,0,22.1,20.5,0.00,0.0
2015-07-07,3,22.6,20.8,0.00,0.0
2015-07-08,2,22.0,20.4,0.00,0.0
2015-07-09,2,21.2,21.6,0.00,0.0
2015-07-10,3,20.9,19.2,0.00,0.0
2015-07-11,0,21.6,19.8,0.00,0.0
2015-07-12,3,21.1,19.4,0.00,0.0
2015-07-13,3,21.8,20.9,0.00,0.0
2015-07-14,3,22.4,21.9,0.00,0.0
2015-07-15,3,22.4,21.4,0.00,0.0
2015-07-16,3,23.1,21.6,0.00,0.0
2015-07-17,2,23.5,22.8,0.00,0.0
2015-07-18,3,22.2,22.6,0.00,0.0
2015-07-19,3,22.4,23.4,0.00,0.0
2015-07-20,3,23.4,23.9,0.00,0.0
2015-07-21,3,23.4,23.4,0.00,0.0
2015-07-22,0,23.4,21.4,0.00,0.0
2015-07-23,0,22.5,20.6,0.00,0.0
2015-07-24,3,21.6,21.5,0.00,0.0
2015-07-25,0,21.2,18.4,0.00,0.0
2015-07-26,1,22.7,21.0,0.00,0.0
2015-07-27,3,22.9,21.0,0.00,0.0
2015-07-28,0,23.0,20.4,0.00,0.0
2015-07-29,3,22.7,22.2,0.00,0.0
2015-07-30,3,22.7,24.4,0.00,0.0
2015-07-31,2,21.6,21.3,0.00,0.0
2015-08-01,2,22.4,21.7,0.00,0.0
2015-08-02,0,23.2,22.9,0.00,0.0
2015-08-03,2,23.2,21.9,0.00,0.0
2015-08-04,1,21.8,20.7,0.00,0.0
2015-08-05,0,21.4,20.1,0.00,0.0
2015-08-06,0,22.6,22.4,0.00,0.0
2015-08-07,1,21.6,18.8,0.00,0.0
2015-08-08,1,22.4,19.8,0.00,0.0
2015-08-09,0,25.3,25.1,0.00,0.0
2015-08-10,1,24.4,25.1,0.00,0.0
2015-08-11,3,21.2,21.0,0.00,0.0
2015-08-12,3,20.8,21.0,0.00,0.0
2015-08-13,2,19.7,17.8,0.00,0.0
2015-08-14,2,19.5,17.3,0.00,0.0
2015-08-15,2,20.4,19.7,0.00,0.0
2015-08-16,51,20.6,21.4,0.30,3.0
2015-08-17,2,21.0,20.0,0.00,0.0
2015-08-18,2,21.0,19.2,0.00,0.0
2015-08-19,0,22.2,22.1,0.00,0.0
2015-08-20,0,24.4,24.4,0.00,0.0
2015-08-21,0,23.4,22.5,0.00,0.0
2015-08-22,3,21.0,20.3,0.00,0.0
2015-08-23,53,19.9,19.3,1.00,2.0
2015-08-24,51,19.9,19.0,0.20,1.0
2015-08-25,0,20.6,19.9,0.00,0.0
2015-08-26,1,21.3,22.3,0.00,0.0
2015-08-27,3,21.5,23.2,0.00,0.0
2015-08-28,3,23.2,24.9,0.00,0.0
2015-08-29,1,24.0,24.7,0.00,0.0
2015-08-30,3,23.3,25.1,0.00,0.0
2015-08-31,51,21.6,23.2,0.20,2.0
2015-09-01,3,21.3,20.8,0.00,0.0
2015-09-02,3,19.5,17.2,0.00,0.0
2015-09-03,3,19.0,16.1,0.00,0.0
2015-09-04,2,18.5,15.9,0.00,0.0
